+1	U+1F44D
-1	U+1F44E
100	U+1F4AF
1234	U+1F522
1st_place_medal	U+1F947
2nd_place_medal	U+1F948
3rd_place_medal	U+1F949
8ball	U+1F3B1
a	U+1F170
ab	U+1F18E
abacus	U+1F9EE
abc	U+1F524
abcd	U+1F521
accept	U+1F251
accordion	U+1FA97
adhesive_bandage	U+1FA79
adult	U+1F9D1
aerial_tramway	U+1F6A1
afghanistan	U+1F1E6 U+1F1EB
airplane	U+2708
aland_islands	U+1F1E6 U+1F1FD
alarm_clock	U+23F0
albania	U+1F1E6 U+1F1F1
alembic	U+2697
algeria	U+1F1E9 U+1F1FF
alien	U+1F47D
ambulance	U+1F691
american_samoa	U+1F1E6 U+1F1F8
amphora	U+1F3FA
anatomical_heart	U+1FAC0
anchor	U+2693
andorra	U+1F1E6 U+1F1E9
angel	U+1F47C
anger	U+1F4A2
angola	U+1F1E6 U+1F1F4
angry	U+1F620
anguilla	U+1F1E6 U+1F1EE
anguished	U+1F627
ant	U+1F41C
antarctica	U+1F1E6 U+1F1F6
antigua_barbuda	U+1F1E6 U+1F1EC
apple	U+1F34E
aquarius	U+2652
argentina	U+1F1E6 U+1F1F7
aries	U+2648
armenia	U+1F1E6 U+1F1F2
arrow_backward	U+25C0
arrow_double_down	U+23EC
arrow_double_up	U+23EB
arrow_down	U+2B07
arrow_down_small	U+1F53D
arrow_forward	U+25B6
arrow_heading_down	U+2935
arrow_heading_up	U+2934
arrow_left	U+2B05
arrow_lower_left	U+2199
arrow_lower_right	U+2198
arrow_right	U+27A1
arrow_right_hook	U+21AA
arrow_up	U+2B06
arrow_up_down	U+2195
arrow_up_small	U+1F53C
arrow_upper_left	U+2196
arrow_upper_right	U+2197
arrows_clockwise	U+1F503
arrows_counterclockwise	U+1F504
art	U+1F3A8
articulated_lorry	U+1F69B
artificial_satellite	U+1F6F0
artist	U+1F9D1 U+1F3A8
aruba	U+1F1E6 U+1F1FC
ascension_island	U+1F1E6 U+1F1E8
asterisk	U+002A U+20E3
astonished	U+1F632
astronaut	U+1F9D1 U+1F680
athletic_shoe	U+1F45F
atm	U+1F3E7
atom_symbol	U+269B
australia	U+1F1E6 U+1F1FA
austria	U+1F1E6 U+1F1F9
auto_rickshaw	U+1F6FA
avocado	U+1F951
axe	U+1FA93
azerbaijan	U+1F1E6 U+1F1FF
b	U+1F171
baby	U+1F476
baby_bottle	U+1F37C
baby_chick	U+1F424
baby_symbol	U+1F6BC
back	U+1F519
bacon	U+1F953
badger	U+1F9A1
badminton	U+1F3F8
bagel	U+1F96F
baggage_claim	U+1F6C4
baguette_bread	U+1F956
bahamas	U+1F1E7 U+1F1F8
bahrain	U+1F1E7 U+1F1ED
balance_scale	U+2696
